,Date,Pakistan
0,2020-01-22,0
1,2020-01-23,0
2,2020-01-24,0
3,2020-01-25,0
4,2020-01-26,0
5,2020-01-27,0
6,2020-01-28,0
7,2020-01-29,0
8,2020-01-30,0
9,2020-01-31,0
10,2020-02-01,0
11,2020-02-02,0
12,2020-02-03,0
13,2020-02-04,0
14,2020-02-05,0
15,2020-02-06,0
16,2020-02-07,0
17,2020-02-08,0
18,2020-02-09,0
19,2020-02-10,0
20,2020-02-11,0
21,2020-02-12,0
22,2020-02-13,0
23,2020-02-14,0
24,2020-02-15,0
25,2020-02-16,0
26,2020-02-17,0
27,2020-02-18,0
28,2020-02-19,0
29,2020-02-20,0
30,2020-02-21,0
31,2020-02-22,0
32,2020-02-23,0
33,2020-02-24,0
34,2020-02-25,0
35,2020-02-26,2
36,2020-02-27,2
37,2020-02-28,2
38,2020-02-29,4
39,2020-03-01,4
40,2020-03-02,4
41,2020-03-03,5
42,2020-03-04,5
43,2020-03-05,5
44,2020-03-06,6
45,2020-03-07,6
46,2020-03-08,6
47,2020-03-09,6
48,2020-03-10,16
49,2020-03-11,19
50,2020-03-12,20
51,2020-03-13,28
52,2020-03-14,31
53,2020-03-15,53
54,2020-03-16,136
55,2020-03-17,236
56,2020-03-18,299
57,2020-03-19,454
58,2020-03-20,501
59,2020-03-21,730
60,2020-03-22,776
61,2020-03-23,875
62,2020-03-24,972
63,2020-03-25,1063
64,2020-03-26,1201
65,2020-03-27,1373
66,2020-03-28,1495
67,2020-03-29,1597
68,2020-03-30,1717
69,2020-03-31,1938
70,2020-04-01,2118
71,2020-04-02,2421
72,2020-04-03,2686
73,2020-04-04,2818
74,2020-04-05,3157
75,2020-04-06,3766
76,2020-04-07,4035
77,2020-04-08,4263
78,2020-04-09,4489
79,2020-04-10,4695
80,2020-04-11,5011
81,2020-04-12,5230
82,2020-04-13,5496
83,2020-04-14,5837
84,2020-04-15,6383
85,2020-04-16,6919
86,2020-04-17,7025
87,2020-04-18,7638
88,2020-04-19,8348
89,2020-04-20,8418
90,2020-04-21,9565
91,2020-04-22,10076
92,2020-04-23,11155
93,2020-04-24,11940
94,2020-04-25,12723
95,2020-04-26,13328
96,2020-04-27,13915
97,2020-04-28,14612
98,2020-04-29,15525
99,2020-04-30,16817
